location_zip	fill_color	region_name
51333	#f09897	NORTHERN PLAINS
51334	#f09897	NORTHERN PLAINS
51338	#f09897	NORTHERN PLAINS
51342	#f09897	NORTHERN PLAINS
51343	#f09897	NORTHERN PLAINS
51345	#f09897	NORTHERN PLAINS
51346	#f09897	NORTHERN PLAINS
51347	#f09897	NORTHERN PLAINS
51350	#f09897	NORTHERN PLAINS
51351	#f09897	NORTHERN PLAINS
51354	#f09897	NORTHERN PLAINS
51355	#f09897	NORTHERN PLAINS
51357	#f09897	NORTHERN PLAINS
51358	#f09897	NORTHERN PLAINS
51360	#f09897	NORTHERN PLAINS
51363	#f09897	NORTHERN PLAINS
51364	#f09897	NORTHERN PLAINS
51365	#f09897	NORTHERN PLAINS
51366	#f09897	NORTHERN PLAINS
51401	#f09897	NORTHERN PLAINS
51430	#f09897	NORTHERN PLAINS
51431	#f09897	NORTHERN PLAINS
51432	#f09897	NORTHERN PLAINS
51433	#f09897	NORTHERN PLAINS
51436	#f09897	NORTHERN PLAINS
51439	#f09897	NORTHERN PLAINS
51440	#f09897	NORTHERN PLAINS
51442	#f09897	NORTHERN PLAINS
51443	#f09897	NORTHERN PLAINS
51444	#f09897	NORTHERN PLAINS
51445	#f09897	NORTHERN PLAINS
51446	#f09897	NORTHERN PLAINS
51447	#f09897	NORTHERN PLAINS
51448	#f09897	NORTHERN PLAINS
51449	#f09897	NORTHERN PLAINS
51450	#f09897	NORTHERN PLAINS
51451	#f09897	NORTHERN PLAINS
51452	#f09897	NORTHERN PLAINS
51453	#f09897	NORTHERN PLAINS
51454	#f09897	NORTHERN PLAINS
51455	#f09897	NORTHERN PLAINS
51458	#f09897	NORTHERN PLAINS
51460	#f09897	NORTHERN PLAINS
51461	#f09897	NORTHERN PLAINS
51462	#f09897	NORTHERN PLAINS
51463	#f09897	NORTHERN PLAINS
51465	#f09897	NORTHERN PLAINS
51466	#f09897	NORTHERN PLAINS
51467	#f09897	NORTHERN PLAINS
51501	#f09897	NORTHERN PLAINS
51503	#f09897	NORTHERN PLAINS
51510	#f09897	NORTHERN PLAINS
51521	#f09897	NORTHERN PLAINS
51523	#f09897	NORTHERN PLAINS
51525	#f09897	NORTHERN PLAINS
51526	#f09897	NORTHERN PLAINS
51527	#f09897	NORTHERN PLAINS
51528	#f09897	NORTHERN PLAINS
51529	#f09897	NORTHERN PLAINS
51530	#f09897	NORTHERN PLAINS
51531	#f09897	NORTHERN PLAINS
51532	#f09897	NORTHERN PLAINS
51533	#f09897	NORTHERN PLAINS
51534	#f09897	NORTHERN PLAINS
51535	#f09897	NORTHERN PLAINS
51536	#f09897	NORTHERN PLAINS
51537	#f09897	NORTHERN PLAINS
51540	#f09897	NORTHERN PLAINS
51541	#f09897	NORTHERN PLAINS
51542	#f09897	NORTHERN PLAINS
51543	#f09897	NORTHERN PLAINS
51544	#f09897	NORTHERN PLAINS
51545	#f09897	NORTHERN PLAINS
51546	#f09897	NORTHERN PLAINS
51548	#f09897	NORTHERN PLAINS
51549	#f09897	NORTHERN PLAINS
51551	#f09897	NORTHERN PLAINS
51552	#f09897	NORTHERN PLAINS
51553	#f09897	NORTHERN PLAINS
51555	#f09897	NORTHERN PLAINS
51556	#f09897	NORTHERN PLAINS
51557	#f09897	NORTHERN PLAINS
51558	#f09897	NORTHERN PLAINS
51559	#f09897	NORTHERN PLAINS
51560	#f09897	NORTHERN PLAINS
51561	#f09897	NORTHERN PLAINS
51562	#f09897	NORTHERN PLAINS
51563	#f09897	NORTHERN PLAINS
51564	#f09897	NORTHERN PLAINS
51565	#f09897	NORTHERN PLAINS
51566	#f09897	NORTHERN PLAINS
51570	#f09897	NORTHERN PLAINS
51571	#f09897	NORTHERN PLAINS
51572	#f09897	NORTHERN PLAINS
51573	#f09897	NORTHERN PLAINS
51575	#f09897	NORTHERN PLAINS
51576	#f09897	NORTHERN PLAINS
51577	#f09897	NORTHERN PLAINS
51578	#f09897	NORTHERN PLAINS
51579	#f09897	NORTHERN PLAINS
51601	#f09897	NORTHERN PLAINS
51630	#f09897	NORTHERN PLAINS
51631	#f09897	NORTHERN PLAINS
51632	#f09897	NORTHERN PLAINS
51636	#f09897	NORTHERN PLAINS
51637	#f09897	NORTHERN PLAINS
51638	#f09897	NORTHERN PLAINS
51639	#f09897	NORTHERN PLAINS
51640	#f09897	NORTHERN PLAINS
51645	#f09897	NORTHERN PLAINS
51646	#f09897	NORTHERN PLAINS
51647	#f09897	NORTHERN PLAINS
51648	#f09897	NORTHERN PLAINS
51649	#f09897	NORTHERN PLAINS
51650	#f09897	NORTHERN PLAINS
51652	#f09897	NORTHERN PLAINS
51653	#f09897	NORTHERN PLAINS
51654	#f09897	NORTHERN PLAINS
51656	#f09897	NORTHERN PLAINS
52544	#f09897	NORTHERN PLAINS
52549	#f09897	NORTHERN PLAINS
52555	#f09897	NORTHERN PLAINS
52569	#f09897	NORTHERN PLAINS
52571	#f09897	NORTHERN PLAINS
52574	#f09897	NORTHERN PLAINS
52581	#f09897	NORTHERN PLAINS
52583	#f09897	NORTHERN PLAINS
52590	#f09897	NORTHERN PLAINS
57001	#f09897	NORTHERN PLAINS
57002	#f09897	NORTHERN PLAINS
57003	#f09897	NORTHERN PLAINS
57004	#f09897	NORTHERN PLAINS
57005	#f09897	NORTHERN PLAINS
57006	#f09897	NORTHERN PLAINS
57010	#f09897	NORTHERN PLAINS
57012	#f09897	NORTHERN PLAINS
57013	#f09897	NORTHERN PLAINS
57014	#f09897	NORTHERN PLAINS
57015	#f09897	NORTHERN PLAINS
57016	#f09897	NORTHERN PLAINS
